House ID,House Type,Address,Address (city),sq ft,rooms,Bathrooms,Bedrooms,Parking,Maintenance,Tax,Cost,$/sqft,Sold/Listed (s/l),Building/Neighbourhood,Date_listed
60,Condo,4470 Tucana Crt 1403,Mississauga,1100,6,2,2,2,$880.82,"$1,774.80","$392,000.00",$356.36,s,4470 Tucana Crt,3/30/2017
61,Condo,4460 Tucana Crt 1409,Mississauga,1100,6,2,2,3,$876.91,"$1,889.86","$420,000.00",$381.82,s,4460 Tucana Crt,3/31/2017
62,Condo,4470 Tucana Crt 707,Mississauga,1100,6,2,2,2,$729.65,"$1,766.00","$375,000.00",$340.91,s,4470 Tucana Crt,4/1/2017
63,Condo,4450 Tucana Crt 1802,Mississauga,950,6,2,2,2,$744.37,"$1,696.23","$366,000.00",$385.26,s,4450 Tucana Crt,4/2/2017
64,Condo,4450 Tucana Crt # 2008,Mississauga,1300,6,2,2,2,$908.20,"$1,739.96","$355,000.00",$273.08,s,4450 Tucana Crt,4/3/2017
65,Condo,4460 Tucana Crt 606,Mississauga,1100,6,2,2,3,$770.42,"$1,819.78","$378,500.00",$344.09,s,4460 Tucana Crt,4/4/2017
66,Condo,4450 Tucana Crt 807,Mississauga,850,6,2,2,2,$660.96,"$1,652.52","$380,000.00",$447.06,s,4450 Tucana Crt,4/5/2017
67,Condo,250 Webb Dr 604,Mississauga,1300,6,2,2,2,$840.95,"$2,320.91","$498,800.00",$383.69,s,250 Webb Dr,4/6/2017
68,Condo,250 Webb Dr 1412,Mississauga,1100,6,2,2,2,$709.00,"$2,168.39","$429,900.00",$390.82,s,250 Webb Dr,4/7/2017
69,Condo,250 Webb Dr 1113,Mississauga,1100,6,2,2,2,$793.00,"$2,302.00","$429,999.00",$390.91,s,250 Webb Dr,4/8/2017
70,Condo,250 Webb Dr Ph10,Mississauga,1100,6,2,2,2,$746.87,"$2,255.81","$459,900.00",$418.09,s,250 Webb Dr,4/9/2017
71,Condo,250 Webb Dr 1413,Mississauga,1100,6,2,2,0,$793.23,"$2,306.05","$399,900.00",$363.55,s,250 Webb Dr,4/10/2017
72,Condo,250 Webb Dr 1019,Mississauga,1100,6,2,2,2,$658.05,"$2,148.91","$400,000.00",$363.64,s,250 Webb Dr,4/11/2017
73,Condo,250 Webb Dr 514,Mississauga,1300,6,2,2,2,$781.10,"$2,308.17","$409,999.00",$315.38,s,250 Webb Dr,4/12/2017
74,Condo,250 Webb Dr 911,Mississauga,1100,6,2,2,2,$634.87,"$2,158.00","$449,900.00",$409.00,s,250 Webb Dr,4/13/2017
75,Condo,250 Webb Dr 614,Mississauga,1300,5,2,2,2,$781.10,"$2,245.02","$459,000.00",$353.08,s,250 Webb Dr,4/14/2017
76,Condo,550 Webb Dr 214,Mississauga,1100,5,1,2,2,$611.39,"$2,032.12","$425,000.00",$386.36,s,550 Webb Dr,4/15/2017
77,Condo,550 Webb Dr 2614,Mississauga,1100,5,1,2,2,$620.00,"$2,100.00","$456,750.00",$415.23,s,550 Webb Dr,4/16/2017
78,Condo,550 Webb Dr 1406,Mississauga,950,5,1,2,2,$558.01,"$1,914.82","$370,000.00",$389.47,s,550 Webb Dr,4/17/2017
79,Condo,550 Webb Dr 712,Mississauga,1100,6,2,2,2,$613.52,"$2,054.72","$425,000.00",$386.36,s,550 Webb Dr,4/18/2017
80,Condo,550 Webb Dr 1212,Mississauga,1100,6,2,2,2,$613.52,"$2,203.35","$450,000.00",$409.09,s,550 Webb Dr,4/19/2017
81,Condo,50 Kingsbridge Garden Circ 1409,Mississauga,950,5,1,2,2,$638.00,"$1,831.00","$370,000.00",$389.47,s,50 Kingsbridge Garden Circ,4/20/2017
82,Condo,50 Kingsbridge Garden Circ 1815,Mississauga,950,5,1,2,2,$667.00,"$1,847.39","$375,000.00",$394.74,s,50 Kingsbridge Garden Circ,4/21/2017
83,Condo,50 Kingsbridge Garden Circ 711,Mississauga,1100,6,2,2,2,$810.47,"$2,076.72","$380,000.00",$345.45,s,50 Kingsbridge Garden Circ,4/22/2017
84,Condo,50 Kingsbridge Garden Circ 1207,Mississauga,950,5,1,2,2,$670.00,"$1,838.00","$370,000.00",$389.47,s,50 Kingsbridge Garden Circ,4/23/2017
85,Condo,50 Kingsbridge Garden Circ 1806,Mississauga,1100,6,2,2,2,$779.50,"$2,142.16","$440,000.00",$400.00,s,50 Kingsbridge Garden Circ,4/24/2017
86,Condo,50 Kingsbridge Garden Circ 214,Mississauga,950,6,2,2,2,$558.36,"$1,941.05","$400,000.00",$421.05,s,50 Kingsbridge Garden Circ,4/25/2017
87,Condo,4470 Tucana Crt Ph3,Mississauga,1650,8,3,3,3,"$1,244.59","$2,601.20","$559,000.00",$338.79,l,4470 Tucana Crt,4/26/2017
88,Condo/Town,3380 South Millway Way 65,Mississauga,1300,8,3,3,2,$251.00,"$2,775.32","$566,000.00",$435.38,l,3380 South Millway,4/27/2017
89,Condo,55 Kingsbridge Garden Circ 908,Mississauga,1300,6,2,2,2,$977.12,"$2,760.00","$576,000.00",$443.08,l,55 Kingsbridge Garden Circ,4/28/2017
90,Condo,4470 Tucana Crt 1103,Mississauga,1100,7,2,2,3,$880.82,"$1,847.39","$385,000.00",$350.00,l,4470 Tucana Crt,4/29/2017
91,Condo,4070 Confederation Pkwy 212,Mississauga,1100,6,2,2,3,$612.72,"$3,002.54","$509,999.00",$463.64,l,4070 Confederation Pkwy,4/30/2017
92,Condo/Town,3240 The Credit Woodlands,Mississauga,1100,10,3,3,2,$444.63,"$2,257.20","$510,000.00",$463.64,l,3240 The Credit Woodlands,5/1/2017
93,Condo,4460 Tucana Crt #1903,Mississauga,1300,6,2,2,3,$936.38,"$2,015.14","$439,900.00",$338.38,l,4460 Tucana Crt,5/2/2017
94,Condo,55 Kingsbridge Garden Circ 908,Mississauga,1300,6,2,2,2,$977.12,"$2,760.00","$576,000.00",$443.08,l,55 Kingsbridge Garden Circ,5/3/2017
95,Condo,4450 Tucana Crt #305,Mississauga,1100,6,2,2,2,$675.73,"$1,659.06","$374,800.00",$340.73,l,4450 Tucana Crt,5/4/2017
97,Condo/Town,383 Prince Of Wales Dr Th 131,Mississauga,1300,6,3,2,2,$450.53,"$3,588.60","$599,998.00",$461.54,l,383 Prince Of Wales Dr,5/5/2017
98,Condo,250 Webb Dr,Mississauga,1300,6,2,2,2,$841.00,"$2,337.90","$429,900.00",$330.69,l,250 Webb Dr,5/6/2017
99,Condo,60 Absolute Ave,Mississauga,1300,5,2,2,2,$823.00,"$3,380.00","$499,000.00",$383.85,l,60 Absolute Ave,5/7/2017
100,Condo,4470 Tucana Crt,Mississauga,1650,7,3,3,3,"$1,244.59","$2,601.20","$559,000.00",$338.79,l,4470 Tucana Crt,5/8/2017
101,Condo,50 Elm Dr E 1511,Mississauga,1300,6,2,2,2,$846.28,"$2,026.00","$429,988.00",$330.76,l,50 Elm Dr,5/9/2017
102,Condo,4450 Tucana Crt 1409,Mississauga,1300,6,2,2,3,$933.88,"$1,824.00","$455,500.00",$350.38,l,4450 Tucana Crt,5/10/2017
103,Condo,250 Webb Dr 914,Mississauga,1300,6,2,2,2,$840.95,"$2,337.90","$429,900.00",$330.69,l,250 Webb Dr,5/11/2017
104,Condo,550 Webb Dr 1711,Mississauga,1100,6,2,2,2,$620.85,"$2,089.69","$489,900.00",$445.36,l,550 Webb Dr,5/12/2017
105,Condo/Town,3065 Lenester Dr 7,Mississauga,1300,7,2,3,2,$369.58,"$2,594.83","$509,900.00",$392.23,l,3065 Lenester Dr,5/13/2017
106,Condo,55 Kingsbridge Garden Circ 203,Mississauga,1500,6,2,2,2,"$1,050.00","$2,727.96","$589,800.00",$393.20,l,55 Kingsbridge Garden Circ,5/14/2017
107,Condo,4450 Tucana Crt #305,Mississauga,1100,5,2,2,2,$675.73,"$1,659.06","$374,800.00",$340.73,l,4450 Tucana Crt,5/15/2017
108,Condo,4470 Tucana Crt Ph3,Mississauga,1600,8,3,3,3,"$1,244.59","$2,601.20","$569,000.00",$355.63,l,4470 Tucana Crt,5/16/2017
109,Condo,350 Webb Dr 810,Mississauga,1100,6,2,2,2,$805.97,"$2,083.09","$419,900.00",$381.73,l,350 Webb Dr,5/17/2017
110,Condo,550 Webb Dr 1214,Mississauga,1100,6,1,2,3,$611.39,"$2,072.46","$439,900.00",$399.91,l,550 Webb Dr,5/18/2017
111,Condo,325 Webb Dr 2011,Mississauga,1100,6,2,2,2,$637.12,"$2,172.00","$449,000.00",$408.18,l,325 Webb Dr,5/19/2017
112,Condo,550 Webb Dr 305,Mississauga,1100,6,1,2,2,$611.39,"$2,006.64","$499,900.00",$454.45,l,550 Webb Dr,5/20/2017
113,Condo,350 Webb Dr 204,Mississauga,1100,7,2,2,2,$805.97,"$2,053.35","$424,900.00",$386.27,l,350 Webb Dr,5/21/2017
114,Condo,3025 Cedarglen Gate 80,Mississauga,1500,8,2,3,2,$292.07,"$2,378.23","$459,900.00",$306.60,l,3025 Cedarglen Gate,5/22/2017
115,Condo,250 Webb Dr E 1507,Mississauga,1100,6,2,2,2,$708.47,"$2,155.28","$429,900.00",$390.82,l,250 Webb Dr,5/23/2017
116,Condo,550 Webb Dr 1214,Mississauga,1100,6,1,2,3,$611.39,"$2,072.46","$439,900.00",$399.91,l,550 Webb Dr,5/24/2017
117,Condo,4070 Confederation Pkwy 212,Mississauga,1100,6,2,2,3,$612.72,"$3,002.54","$509,999.00",$463.64,l,4070 Confederation Pkwy,5/25/2017
118,Condo,250 Webb Dr 908,Mississauga,1100,6,2,2,2,$792.95,"$2,293.31","$424,900.00",$386.27,l,250 Webb Dr,5/26/2017
119,Condo,325 Webb Dr 2011,Mississauga,1100,6,2,2,2,$637.12,"$2,172.00","$449,000.00",$408.18,l,325 Webb Dr,5/27/2017
120,Condo,330 Rathburn Rd W 504,Mississauga,1300,6,2,2,2,$894.04,"$2,286.00","$556,000.00",$427.69,l,330 Rathburn Rd,5/28/2017
121,Condo,350 Webb Dr 204,Mississauga,1100,7,2,2,2,$805.97,"$2,053.35","$424,900.00",$386.27,l,350 Webb Dr,5/29/2017
122,Condo,350 Webb Dr 1001,Mississauga,1100,7,2,2,2,$818.30,"$2,138.29","$479,900.00",$436.27,l,350 Webb Dr,5/30/2017
123,Condo,3590 Kaneff Cres 1608,Mississauga,1100,6,1,2,1,825.2,1830.4,"$325,000.00",$295.45,s,3590 Kaneff Cres,5/31/2017
124,Condo,3590 Kaneff Cres 312,Mississauga,1300,6,2,2,2,$833.59,"$1,794.30","$348,000.00",$267.69,s,3590 Kaneff Cres,6/1/2017
125,Condo,3590 Kaneff Cres 301,Mississauga,1300,7,2,2,2,$843.57,"$1,832.51","$345,000.00",$265.38,s,3590 Kaneff Cres,6/2/2017
126,Condo,3590 Kaneff Cres 1906,Mississauga,1300,6,2,2,2,$843.57,"$1,828.99","$412,500.00",$317.31,s,3590 Kaneff Cres,6/3/2017
127,Condo,3590 Kaneff Cres 911,Mississauga,1300,6,2,2,2,$843.57,"$1,815.53","$408,000.00",$313.85,s,3590 Kaneff Cres,6/4/2017
128,Condo,3590 Kaneff Cres 1708,Mississauga,1300,6,1,3,1,$825.22,"$1,830.40","$347,000.00",$266.92,s,3590 Kaneff Cres,6/5/2017
129,Condo,3590 Kaneff Cres 1903,Mississauga,1100,6,2,2,1,$880.08,"$1,900.00","$419,900.00",$381.73,s,3590 Kaneff Cres,6/6/2017
130,Condo,3590 Kaneff Cres 1103,Mississauga,1100,6,2,2,1,$880.88,"$1,838.89","$330,000.00",$300.00,s,3590 Kaneff Cres,6/7/2017
131,Condo,3590 Kaneff Cres 602,Mississauga,1100,6,2,2,2,$843.57,"$1,798.55","$389,900.00",$354.45,s,3590 Kaneff Cres,6/8/2017
132,Condo,3590 Kaneff Cres 2007,Mississauga,1300,6,2,2,2,$931.67,"$1,936.57","$419,900.00",$323.00,s,3590 Kaneff Cres,6/9/2017
133,Condo,3590 Kaneff Cres 1809,Mississauga,1100,6,2,2,2,$843.57,"$1,840.00","$415,000.00",$377.27,l,3590 Kaneff Cres,6/10/2017
134,Condo,350 Webb Dr 204,Mississauga,1100,7,2,2,2,$805.97,"$2,053.35","$424,900.00",$386.27,l,350 Webb Dr,6/11/2017
135,Condo,3590 Kaneff Cres 612,Mississauga,1300,6,2,2,2,$833.59,"$1,842.57","$449,990.00",$346.15,l,3590 Kaneff Cres,6/12/2017
136,Condo,330 Rathburn Rd W 504,Mississauga,1300,6,2,2,2,$894.04,"$2,286.00","$556,000.00",$427.69,l,330 Rathburn Rd W,6/13/2017
137,Condo,70 Absolute Ave 1806,Mississauga,1100,6,2,2,2,$811.97,"$3,085.00","$499,000.00",$453.64,l,70 Absolute Ave,6/14/2017
138,Condo,60 Absolute Ave 1607,Mississauga,1300,5,2,2,1,$792.00,"$3,387.00","$485,000.00",$373.08,l,60 Absolute Ave,6/15/2017
139,Condo,3888 Duke Of York Blvd ,Mississauga,1100,6,2,2,2,$817.99,"$3,873.00","$589,000.00",$535.45,l,3888 Duke Of York Blvd,6/16/2017
140,Condo,4450 Tucana Crt 409,Mississauga,1300,6,2,2,2,$933.88,"$1,873.40","$529,000.00",$406.92,l,4450 Tucana Crt,6/17/2017
141,Condo,50 Kingsbridge Garden Circ 608,Mississauga,850,6,2,2,2,$670.19,"$1,803.00","$420,000.00",$494.12,l,50 Kingsbridge Garden Circ,6/18/2017
142,Condo,350 Rathburn Rd W 2003,Mississauga,1300,6,2,2,2,"$1,011.00","$2,556.00","$589,000.00",$453.08,l,350 Rathburn Rd W,6/19/2017
143,Condo,50 Kingsbridge Garden Circ 1011,Mississauga,1100,6,2,2,2,$810.47,"$2,087.33","$499,000.00",$453.64,l,50 Kingsbridge Garden Circ,6/30/2018
144,Condo,250 Webb Dr 504,Mississauga,1300,6,2,2,2,$840.00,"$2,334.56","$509,900.00",$392.23,l,250 Webb Dr,6/30/2018
145,Condo,400 Webb Dr 2001,Mississauga,1100,6,1,2,2,$523.00,"$1,898.35","$420,000.00",$381.82,l,400 Webb Dr,6/30/2018
146,Condo,355 Rathburn Rd E 1210,Mississauga,1100,6,2,3,2,$773.23,"$1,781.48","$405,000.00",$368.18,s,355 Rathburn Rd E,7/7/2018
147,Condo,355 Rathburn Rd E 208,Mississauga,1100,5,2,2,1,$689.59,"$1,477.71","$368,000.00",$334.55,s,355 Rathburn Rd E,7/7/2018
148,Condo,355 Rathburn Rd E 1002,Mississauga,1160,6,2,3,2,$765.55,"$1,692.38","$448,000.00",$386.21,s,355 Rathburn Rd E,7/7/2018
149,Condo,355 Rathburn Rd E 301,Mississauga,1100,6,2,3,2,$765.55,"$1,573.83","$471,000.00",$428.18,s,355 Rathburn Rd E,7/7/2018
150,Condo,355 Rathburn Rd E 202,Mississauga,1100,6,2,3,2,$773.23,"$1,666.90","$424,202.00",$385.64,s,355 Rathburn Rd E,7/7/2018
151,Condo,4470 Tucana Crt 2004,Mississauga,1300,6,2,2,2,$880.82,"$1,774.93","$434,800.00",$334.46,l,4470 Tucana Crt,7/16/2018
152,Condo,50 Kingsbridge Garden Circ 608,Mississauga,850,5,2,2,2,$670.19,"$1,803.00","$410,000.00",$482.35,l,50 Kingsbridge Garden Circ,7/16/2018
153,Condo,700 Constellation Dr 1804,Mississauga,1300,6,2,2,2,$964.09,"$2,227.48","$474,900.00",$365.31,l,700 Constellation Dr,7/16/2018
154,Condo,223 Webb Dr 1804,Mississauga,1100,6,2,2,2,$727.44,"$3,182.73","$568,000.00",$516.36,l,223 Webb Dr,7/16/2018
155,Condo,3525 Kariya Dr 3303,Mississauga,1100,6,4,2,2,$615.09,"$3,432.48","$589,000.00",$535.45,l,3525 Kariya Dr,7/16/2018
156,Condo,250 Webb Dr 207,Mississauga,1100,6,2,2,2,$792.95,"$2,330.43","$449,000.00",$408.18,l,250 Webb Dr,7/16/2018
157,Condo,3525 Kariya Dr 3303,Mississauga,1100,6,4,2,2,$615.09,"$3,432.48","$559,000.00",$508.18,l,3525 Kariya Dr,7/29/2018
158,Condo,50 Kingsbridge Garden Circ 608,Mississauga,850,6,2,2,2,$670.19,"$1,803.00","$410,000.00",$482.35,l,50 Kingsbridge Garden Circ,7/29/2018
159,Condo,55 Kingsbridge Garden Circ 300,Mississauga,1227,5,2,2,2,$902.14,"$2,507.48","$498,800.00",$406.52,l,55 Kingsbridge Garden Circ,7/29/2018
160,Condo,350 Webb Dr 1001,Mississauga,1100,7,2,2,2,$818.30,"$2,138.29","$459,900.00",$418.09,l,350 Webb Dr,7/29/2018
161,Condo,55 Kingsbridge Garden Circ 300,Mississauga,1227,5,2,2,2,$902.14,"$2,507.48","$498,800.00",$406.52,l,55 Kingsbridge Garden Circ,7/29/2018
162,Condo,350 Rathburn Rd W 2003,Mississauga,1403,6,2,2,2,"$1,011.00","$2,556.00","$572,000.00",$407.70,l,350 Rathburn Rd W,7/29/2018
163,Condo,45 Kingsbridge Garden Circ 1502,Mississauga,1342,6,2,2,2,$987.12,"$2,802.19","$585,000.00",$435.92,l,45 Kingsbridge Garden Circ,7/29/2018
